Location,Followers,Following,Stars,Contributions,Weight,Longitude,Latitude
"Mountain View, CA",1400,30,181,298,456.5,-114.2502063,51.6878246
"Brooklyn, NY",426,48,629,1128,729.9000000000002,-73.9495823,40.6501038
"San Francisco, CA",36300,4,20,29,7278.0,-71.2743272,46.8443248
"Iran, Hamedan",41,50,291,242,197.3,48.6555779,34.973321
"Bristol, UK",33,16,37,36,33.7,-2.5972985,51.4538022
Germany,36,7,55,323,153.60000000000005,10.4234469,51.0834196
Hyderabad,156,1,0,255,133.3,78.46106473453146,17.38878595
"Kyiv, Ukraine",136,31,47,210,128.4,30.5241361,50.4500336
Zurich,652,14,79,54,177.1,8.5423328,47.3723941
"Mountain View, CA",601,146,182,59,213.0,-114.2502063,51.6878246
"Rijeka, Croatia",161,17,42,786,360.9,14.4412309,45.3271752
London,15,11,9,2,7.599999999999999,-0.1276474,51.5073219
"Shanghai, China",84,133,833,44,297.6,121.4692071,31.2322758
India,728,17,94,116,221.9,78.6677428,22.3511148
"Erlangen, Germany",25,3,19,117,57.8,11.003645,49.5981187
Mazatlán & Seattle,54,1,120,235,140.9,-122.3130445,47.7779287
earth,87,1,105,22,57.8,-102.4107493,34.2331373
"Athens, GA",58,35,10,79,49.7,-83.376398,33.9597677
Sri Lanka,12,0,77,145,83.5,80.7137847,7.5554942
Hangzhou,5,18,81,2,27.9,120.2052342,30.2489634
"Kathmandu, Nepal",1100,266,431,2259,1279.5,85.3205817,27.708317
Belgium,50,9,200,12,75.7,4.6667145,50.6402809
China Hangzhou,4600,47,394,0,1042.9,120.2052342,30.2489634
深圳市南山区,212,0,15,0,46.90000000000001,113.9256222,22.5360142
London,304,20,41,1259,578.7,-0.1276474,51.5073219
"Tokyo, Japan.",317,0,47,249,177.10000000000005,139.7594549,35.6828387
china beijing,368,0,3,1,74.90000000000002,-104.900937,39.6566257
"Cambridge, MA",614,0,22,40,145.4,-71.1056157,42.3750997
"Hangzhou, China",86,1,22,310,147.9,120.2052342,30.2489634
Thailand,88,31,729,2270,1147.4,100.83273,14.8971921
Switzerland,283,6,211,165,186.5,8.2319736,46.7985624
"Hyderabad, India",118,124,92,152,124.4,78.46106473453146,17.38878595
"Xi'an, China",65,8,13,260,121.7,108.9365887,34.3468421
"Bauru, SP",39,3,33,29,29.6,-49.0705863,-22.3218102
"Oakland, California, USA",756,25,147,570,425.8,-122.2713563,37.8044557
San Jose,70,5,28,46,41.3,-121.8905833,37.3361905
"Claremont, CA",375,4,156,919,489.8,-63.9761354,45.6782409
China NJU,49,29,112,75,76.30000000000003,118.77408832807794,32.0565957
Bangalore,24,4,9,6,10.3,77.5912997,12.9791198
New York,332,2,67,445,264.7,-74.0060152,40.7127281
"Pune, India",99,27,43,64,61.0,73.8544541,18.521428
"Nanjing, China",624,48,642,65,348.2000000000001,118.7916458,32.0609736
Brazil,1500,23,26,249,409.7000000000001,-53.2,-10.3333333
"Detroit, MI",34,6,113,44,58.9,-83.0466403,42.3315509
"Cambridge, MA",73,1,9,119,65.0,-71.1056157,42.3750997
Bogota,292,1,51,61,98.20000000000002,-74.0760439,4.59808
"Lehi, UT",119,1,425,0,151.4,-111.8491619,40.3880902
"Paris, France",3200,116,237,821,1051.1,2.3514616,48.8566969
"Dallas, Texas",81,1,60,400,194.3,-96.7968559,32.7762719
"Fuzhou, Fujian, China",41,6,122,0,45.40000000000001,119.2918215,26.0774954
Kraków,810,77,275,437,427.0,19.9368564,50.0619474
"San Francisco, CA",183,85,97,250,174.2,-71.2743272,46.8443248
"London, UK",1100,2,491,1728,1058.7,-0.1276474,51.5073219
"Oxford, England",3400,51,194,875,1093.3000000000004,-1.2578499,51.7520131
Oakland,309,111,320,466,355.3,-122.2713563,37.8044557
California,92,8,40,2236,925.6,-118.7559974,36.7014631
India,922,8,99,985,608.9,78.6677428,22.3511148
"Bothell, Washington",312,15,50,2,79.7,-122.2068288,47.7598697
"United States , Mexico, Canada",1800,18300,387,5084,4339.7,-106.3282453,36.0794368
"Denver, CO",81,7,30,0,25.9,-104.9848623,39.7392364
"Tel Aviv, Israel",12,1,2,25,13.1,34.7805274,32.0804808
San Francisco Bay Area,659,0,6,54,155.20000000000005,-122.3558473,37.7884969
"Istanbul, TUR",64,59,248,1426,663.5,13.0602654,47.9606577
"Montevideo, Uruguay",78,0,6,500,217.4,-56.1913569,-34.9059039
The Shire,1700,19,147,20,394.0,35.1484322,-16.5682419
"San Francisco, CA",3400,41,36,3844,2232.5,-71.2743272,46.8443248
"Greater Boston Area, MA, USA",219,73,475,540,409.6,-71.21496015270034,42.395738699999995
"Seattle, WA",118,23,148,265,176.3,-122.3300624,47.6038321
Beijing,8,1,11,71,33.40000000000001,116.412144,40.190632
XIAN,1,7,109,21,41.99999999999999,108.9365887,34.3468421
Shenzhen，China,39,1,2,2129,860.1,,
Shanghai,21,13,23,167,79.19999999999997,121.4692071,31.2322758
"New York, NY",15200,23,83,1051,3487.600000000001,-74.0060152,40.7127281
Dalian,43,0,1,7,11.7,121.6282945,38.9181714
California,195,17,591,731,510.4,-118.7559974,36.7014631
"Amsterdam, Netherlands",207,1,32,5,53.10000000000001,4.8936041,52.3727598
广东省广州市,90,9,36,7,32.49999999999999,113.2592945,23.1301964
Sydney Australia,3400,0,0,99,719.6,151.2164539,-33.8548157
ShenZhen,260,7,31,66,88.4,114.0543297,22.555454
"Shenzhen, China ",999,350,728,269,560.8000000000002,114.0543297,22.555454
China,607,14,1500,367,719.5999999999998,104.999927,35.000074
Beijing,548,0,0,140,165.60000000000005,116.412144,40.190632
ShangHai,188,40,120,16,84.0,121.4692071,31.2322758
New York City,3100,2,29,721,917.3000000000003,-74.0060152,40.7127281
USA / China,6000,71,313,685,1575.0,-94.3357433,30.047992
"Cambridge, UK",978,267,723,1142,896.0,0.1235817,52.2034823
"Madison, WI",13300,35,73,681,2957.8,-89.3837613,43.074761
Saarland University,579,360,644,33,358.2,7.0417396372136665,49.254774850000004
Cambridge,96,6,34,129,81.60000000000002,0.1235817,52.2034823
Germany,928,0,125,610,467.1,10.4234469,51.0834196
Bangalore,5700,0,2,369,1288.1999999999996,77.5912997,12.9791198
"Dallas, TX",115,1,1,56,45.8,-96.7968559,32.7762719
Singapore,1000,11,367,319,438.8,103.83039182212079,1.3408630000000001
"Madison, WI",13300,35,73,681,2957.8,-89.3837613,43.074761
"wuhan ,china",24,12,92,93,70.80000000000003,114.2999353,30.5951051
Singapore,387,6,8,15,86.4,103.83039182212079,1.3408630000000001
Mumbai,418,7,56,714,386.7000000000001,72.8353355,18.9387711
"Wuhan, China",7,0,15,78,37.1,114.2999353,30.5951051
"Kuala Lumpur, Malaysia",1000,31,103,634,487.6,101.6942371,3.1516964
"Campbell, CA",42,10,125,35,60.9,-74.2860761,45.9788568
São Paulo,342,31,112,245,203.1,-46.6333824,-23.5506507
"Philadelphia, USA",98,33,27,253,132.2,-75.1635262,39.9527237
Japan,194,0,6,0,40.6,139.2394179,36.5748441
Ahmedabad,33,12,162,104,98.0,72.5797068,23.0216238
"Boston, MA",1200,0,28,145,306.4,-71.0582912,42.3602534
"Copenhagen, Denmark",36,40,144,7,57.19999999999999,12.5700724,55.6867243
Birmingham and Mumbai,28,0,3,0,6.5,,
"Charlottesville, Virginia",444,22,16,214,181.40000000000003,-78.4766781,38.029306
"London, UK",48,0,2,34,23.800000000000004,-0.1276474,51.5073219
Paris,7600,2,21,215,1612.5,2.3514616,48.8566969
United States,41,4,22,22,24.0,-100.4458825,39.7837304
Schiedam,381,12,56,28,105.4,4.386451052615731,51.9300454
San Francisco,56,0,28,4,21.200000000000006,-122.4199061,37.7790262
哈尔滨,19,1,2,0,4.5,126.5303997,45.7988273
ShenZhen · China,112,5,34,170,101.1,114.0543297,22.555454
Philadelphia,140,2,97,86,91.7,-75.1635262,39.9527237
New York,85,1,31,706,308.8,-74.0060152,40.7127281
"Bangalore, India",471,22,797,42,352.3,77.5912997,12.9791198
Planet Earth,53,0,102,219,128.8,77.7501677,12.8831063
Beijing,55,10,186,1,68.2,116.412144,40.190632
Taiwan,191,79,1500,591,732.5,120.83536313817521,23.59829785
Brazil ,17,277,166,103,122.1,-53.2,-10.3333333
"São Paulo, Brasil",1400,9,52,416,462.9,-46.6333824,-23.5506507
"Tokyo, Japan",100,3,21,0,26.6,139.7594549,35.6828387
Seattle WA,37,45,100,77,72.7,-122.3300624,47.6038321
Korea,333,7,111,569,328.2000000000001,127.6961188,36.638392
Mumbai,30,2,1,56,28.9,72.8353355,18.9387711
Toronto Ontario,374,1,3,1328,607.0,-79.3839347,43.6534817
Seoul/Korea,50,19,108,245,142.3,126.9782914,37.5666791
Planet Earth,30,64,24,59,43.2,77.7501677,12.8831063
"Norwich, UK",52,8,17,135,70.3,1.29227,52.628606
Vietnam,1200,91,202,57,332.5,108.4265113,13.2904027
"Portland, OR",454,324,2900,373,1142.4,-122.6741949,45.5202471
"Cambridge, UK",978,267,723,1142,896.0,0.1235817,52.2034823
"Qingdao,China",8800,17,33,74,1801.2,120.3781372,36.0638034
Bangalore India,677,19,250,70,240.3,77.5912997,12.9791198
北京市丰台区,654,2,33,90,176.9,116.2804172,39.8571176
Beijing.China,112,2,5,63,49.3,116.412144,40.190632
Somewhere Out in Space,1200,189,4300,31,1561.3000000000004,,
Germany,121,62,431,230,251.7,10.4234469,51.0834196
"Sichuan University, China",665,16,12,109,181.8,103.99678178344675,30.56118735
"Munich, Germany",418,0,67,104,145.3,11.5753822,48.1371079
"Beijing, China",186,51,474,786,498.9,116.412144,40.190632
Singapore,245,78,533,794,534.3,103.83039182212079,1.3408630000000001
Amsterdam,5600,7,83,1481,1738.0,4.8936041,52.3727598
guangzhou,77,43,131,250,159.0,113.2592945,23.1301964
"Pune, India",99,27,43,64,61.0,73.8544541,18.521428
"Taipei, Taiwan",98,118,413,342,292.1,121.5636796,25.0375198
"Toronto, Canada",153,13,10,886,389.30000000000007,-79.3839347,43.6534817
"Stanford, CA",442,6,74,189,186.8,-122.17029258409187,37.426540700000004
San Francisco,417,16,61,392,260.1,-122.4199061,37.7790262
Shenzhen,7,4,41,0,14.1,114.0543297,22.555454
United States,984,36,485,50,365.9,-100.4458825,39.7837304
Minneapolis,30,2,2,2,7.6,-93.2654692,44.9772995
"Washington, DC",31,1,2,66,33.300000000000004,-77.0365581,38.8949924
"Greater Boston Area, MA, USA",218,73,475,537,408.2000000000001,-71.21496015270034,42.395738699999995
"San Diego, CA",71,4,265,19,101.7,-117.1627714,32.7174209
"New York, New York",95,0,17,51,44.5,-74.0060152,40.7127281
New York,55,12,12,502,216.6,-74.0060152,40.7127281
San Francisco,2000,27,12,85,440.3,-122.4199061,37.7790262
Luxembourg,149,1,13,15,39.8,6.1296751,49.8158683
"Munich, Germany",154,16,13,33,49.5,11.5753822,48.1371079
Lausanne,10,18,1,0,4.1,6.6327025,46.5218269
"London, UK",31,0,0,14,11.8,-0.1276474,51.5073219
ShangHai,188,40,120,16,84.0,121.4692071,31.2322758
"Frisco, Texas (United States)",491,11,179,411,317.4,-96.8236116,33.1506744
Thailand,29,4,4,95,45.4,100.83273,14.8971921
China,96,173,1000,385,490.5,104.999927,35.000074
India,30,11,28,153,76.7,78.6677428,22.3511148
London,604,2,41,111,177.70000000000005,-0.1276474,51.5073219
上海，中国,49,4,0,264,115.8,130.97898916403972,45.29930665
"Mountain View, CA",160,92,126,38,94.2,-114.2502063,51.6878246
Belgium,200,3,44,154,115.1,4.6667145,50.6402809
Netherlands,13,40,85,21,40.5,5.7480821,52.5001698
"Seattle, WA",21,6,19,0,10.5,-122.3300624,47.6038321
China,183,26,359,44,164.5,104.999927,35.000074
"HangZhou , ZheJiang, China ",39,6,18,0,13.8,120.2052342,30.2489634
Stanford,16,8,23,6,13.3,-122.17029258409187,37.426540700000004
"Chicago, IL",19,1,14,0,8.100000000000001,-87.6244212,41.8755616
"Austin, TX",648,7,139,125,222.0,-97.7436995,30.2711286
Hyderabad,45,0,98,59,62.0,78.46106473453146,17.38878595
"Chicago, IL",310,5,13,335,200.4,-87.6244212,41.8755616
"Tabriz, Iran",459,5,7,0,94.4,46.2961952,38.0739964
"Yokohama, Japan",37,0,13,18,18.5,139.636768,35.444991
"Madison, WI",13300,35,73,681,2957.8,-89.3837613,43.074761
Toronto Canada,3300,68,1,76,697.4999999999999,-79.3839347,43.6534817
Boston,413,26,148,22,138.4,-71.0582912,42.3602534
"Sydney, Australia",621,1,38,13,140.89999999999995,151.2164539,-33.8548157
"Vancouver, WA",5200,13,134,33,1094.7,-122.6744557,45.6306954
"Cambridge, UK",385,2,132,347,255.6,0.1235817,52.2034823
"New York, NY",507,0,8,827,434.6,-74.0060152,40.7127281
"Seattle, WA",383,20,101,9,112.5,-122.3300624,47.6038321
"Vienna, Austria",651,0,123,302,287.9000000000001,16.3725042,48.2083537
"New York, NY, USA",209,1,5,0,43.40000000000001,-74.0060152,40.7127281
Hanoi,444,24,15,3785,1609.7,105.8544441,21.0294498
"Cambridge, UK",978,267,723,1142,896.0,0.1235817,52.2034823
"San Francisco, CA",3400,41,36,3980,2286.9,-71.2743272,46.8443248
Taipei,55,0,7,74,42.7,121.5636796,25.0375198
Vipava,19,1,0,95,41.9,13.961222,45.8466286
Luxembourg & Shanghai,614,43,145,665,436.6,2.3255977,48.8489697
"DC, USA",394,0,4,45,98.0,-100.472769,39.7940527
San Francisco,134,3,109,4712,1944.6,-122.4199061,37.7790262
"Herndon, Virginia",66,0,12,1053,438.00000000000006,-77.3859479,38.9695316
Chicago,71,3,24,84,55.3,-87.6244212,41.8755616
"Duvall, WA",227,3,36,510,260.5,-121.9856782,47.7423219
China,132,9,86,315,179.1,104.999927,35.000074
ShangHai·China,50,0,170,1,61.4,,
Toronto,415,0,7,843,422.30000000000007,-79.3839347,43.6534817
New York,4500,0,3,17,907.7,-74.0060152,40.7127281
France,33,0,142,116,95.6,1.8883335,46.603354
"Brisbane, Australia",336,58,274,1224,644.8,153.0234991,-27.4689682
Gurgaon,206,85,377,293,280.0,77.00270014657752,28.42826235
Beijing,65,59,984,11,318.49999999999994,116.412144,40.190632
Gurgaon,83,0,4,567,244.6,77.00270014657752,28.42826235
"Seoul, republic of korea",766,154,1900,1305,1260.6,126.9782914,37.5666791
"Brooklyn, NY",702,29,209,1324,735.6,-73.9495823,40.6501038
United States,55,36,209,255,179.3,-100.4458825,39.7837304
United States,144,12,161,1002,479.1,-100.4458825,39.7837304
"Shanghai, China",412,128,774,90,363.4,121.4692071,31.2322758
"Bengaluru, India",53,5,24,246,116.7,77.5912997,12.9791198
San Francisco,276,59,33,38,86.2,-122.4199061,37.7790262
"Beijing, People's Republic of China",26,53,210,6,75.9,116.412144,40.190632
"Portland, OR",136,3,27,9,39.2,-122.6741949,45.5202471
London,32,4,10,19,17.400000000000002,-0.1276474,51.5073219
Boston,205,2,56,72,86.8,-71.0582912,42.3602534
Greater New York City Area,30,7,28,140,71.1,17.7833606,51.897262
Paris | Nyköping,1500,358,307,101,468.3,17.0401839,58.9785186
Munich,915,0,27,1633,844.3000000000002,11.5753822,48.1371079
"GuangDong, GuangZhou",63,4,36,0,23.8,113.2592945,23.1301964
"Yorktown Heights, NY",44,0,5,293,127.5,-73.77527040089426,41.2695965
"He Fei, China",32,72,227,572,310.5,117.2218033,31.8228094
Thailand,11,4,9,131,57.7,100.83273,14.8971921
Santa Cruz,61,12,118,43,66.0,-16.2540884,28.469648
Los Angeles,61,105,262,69,128.9,-118.2427666,34.0536909
Montreal,32,2,58,1209,507.6,-73.6103642,45.4972159
China,3100,28,122,203,740.6,104.999927,35.000074
"San Francisco, CA",36300,4,20,29,7278.0,-71.2743272,46.8443248
"Cologne, Germany",518,3,3,50,124.8,6.959974,50.938361
"SF Bay Area, USA",325,1,13,2,69.8,-122.4199061,37.7790262
"Santa Barbara, CA",189,51,74,642,321.9000000000001,-73.6077401,45.5361933
Berlin,48,14,328,14,115.0,13.4025498,52.5015217
"A Coruña, Spain",121,34,80,2,52.4,-8.3958768,43.3712091
Denmark,48,2,52,302,146.20000000000005,10.3333283,55.670249
"Baltimore, Md",62,3,42,40,41.3,-76.610759,39.2908816
"Nanjing, China",624,48,642,65,348.2000000000001,118.7916458,32.0609736
"Oslo, Norway",1500,33,21,2742,1406.4,10.775729194051895,59.97239745
Seattle,103,1,53,37,51.40000000000001,-122.3300624,47.6038321
"New York, NY",381,9,15,56,104.0,-74.0060152,40.7127281
"Salzburg, Austria",35,0,20,126,63.40000000000001,13.0464806,47.7981346
"Stockholm, Sweden",3400,11,53,1,697.4,18.0710935,59.3251172
Beijing,47,0,0,124,59.0,116.412144,40.190632
Singapore,79,142,372,443,318.8,103.83039182212079,1.3408630000000001
"Fremont, CA",1800,5,97,586,624.0,-123.13581745077204,49.2850624
"Asheville, NC, USA",6100,0,74,152,1303.0,-82.5540161,35.6009498
"San Francisco, CA",36300,4,20,29,7278.0,-71.2743272,46.8443248
"Stony Brook, NY",51,26,249,96,125.9,-73.13960360056436,40.9087015
"Rochester, NY",1400,651,472,887,841.5,-77.615214,43.157285
"Warsaw, Poland",501,32,376,1384,769.8,21.0067249,52.2319581
Palo Alto,8500,43,59,1233,2215.2,-122.1598465,37.4443293
"Tabriz, Iran",457,5,7,0,94.0,46.2961952,38.0739964
Poland,138,6,746,727,542.8,19.134422,52.215933
New York,51,5,30,2,20.500000000000004,-74.0060152,40.7127281
"Palo Alto, CA",20,0,0,2,4.8,-122.1598465,37.4443293
"Bangalore, India",150,0,0,795,348.0,77.5912997,12.9791198
İstanbul,2700,0,1,0,540.3,28.9651646,41.0096334
Mumbai,340,262,2,340,230.8,72.8353355,18.9387711
Mumbai,297,6,12,375,213.6,72.8353355,18.9387711
"Vilnius, Lithuania",27,0,24,4,14.2,25.2829111,54.6870458
"Seattle, WA",93,19,155,3089,1302.6,-122.3300624,47.6038321
Auckland,50,0,27,3342,1354.9,174.7631803,-36.852095
"Shanghai, China",96,6,136,462,245.4,121.4692071,31.2322758
"British Columbia, Canada",60,140,75,576,278.9,-125.002441,55.001251
"Bangalore, India",471,22,797,42,352.3,77.5912997,12.9791198
"Riyadh, Saudi Arabia",47,4,20,74,45.40000000000001,46.7150648,24.6319692
Singapore,387,6,8,12,85.2,103.83039182212079,1.3408630000000001
Peru-Arequipa,17,11,39,244,113.8,-71.5369607,-16.3988667
"Madison, WI",13300,35,72,672,2953.9,-89.3837613,43.074761
London,18,3,11,564,232.8,-0.1276474,51.5073219
wuhan,15,124,57,5,34.5,114.2999353,30.5951051
San Francisco Bay Area,82,51,60,11,43.9,-122.3558473,37.7884969
New York // Sydney,791,3,6,242,257.1,-73.86170625718404,40.73746465
Ahmedabad,348,173,1100,221,505.3,72.5797068,23.0216238
Shanghai <=> Wuhan,75,260,702,665,517.6,119.8363032,31.6658708
"Manhattan, NY",15,1,3,25,14.0,-73.9598939,40.7896239
Beijing,25,6,65,23,34.300000000000004,116.412144,40.190632
"San Francisco, CA",36300,4,20,29,7278.0,-71.2743272,46.8443248
Syria,34,14,10,36,25.6,39.0494106,34.6401861
"Mumbai, India",30,66,190,0,69.6,72.8353355,18.9387711
Palo Alto,8500,43,59,1210,2206.0,-122.1598465,37.4443293
"Pittsburgh, PA",46,86,569,613,433.7000000000001,-79.9900861,40.4416941
"Madison, WI",13300,35,73,681,2957.8,-89.3837613,43.074761
Beijing,1500,1,28,14,314.1,116.412144,40.190632
Mumbai,79,10,132,12,61.2,72.8353355,18.9387711
"Washington, DC",558,9,29,569,348.80000000000007,-77.0365581,38.8949924
"Seattle, WA",650,0,0,1993,927.2,-122.3300624,47.6038321
"Xian,China",48,22,440,108,187.0,108.9365887,34.3468421
China Shanghai,16,0,16,55,30.0,121.4692071,31.2322758
"France, Montpellier",232,8,1,489,243.1,3.8767337,43.6112422
"Brooklyn, NY",2600,275,2200,2683,2280.7,-73.9495823,40.6501038
"Boston, MA",57,1,0,6,13.9,-71.0582912,42.3602534
"Helmond, The Netherlands",106,5,25,318,156.4,5.6557686,51.4790956
"Toronto, Canada",85,18,74,1525,651.0,-79.3839347,43.6534817
Zurich,645,14,79,54,175.7,8.5423328,47.3723941
"New York, NY",2800,30,274,49,664.8000000000002,-74.0060152,40.7127281
Palma de Mallorca,1200,1,1,510,444.4,2.6500745,39.5695818
"New Delhi, India",119,33,168,2023,886.7,77.2090057,28.6138954
"Taipei, Taiwan",126,14,85,456,234.5,121.5636796,25.0375198
"Grace Field, TPN",428,2,45,160,163.3,,
"New York, NY",147,0,121,5,67.7,-74.0060152,40.7127281
"Hangzhou,China",17,6,39,72,44.5,120.2052342,30.2489634
"SF Bay Area, USA",325,1,13,2,69.8,-122.4199061,37.7790262
Bangalore,112,14,88,111,94.6,77.5912997,12.9791198
"Charlottesville, Virginia",444,22,16,214,181.40000000000003,-78.4766781,38.029306
"Hangzhou, China",56,66,222,61,108.8,120.2052342,30.2489634
"Kuala Lumpur, Malaysia",1000,31,104,634,487.9,101.6942371,3.1516964
Beijing.China,112,2,5,63,49.3,116.412144,40.190632
Palma de Mallorca,1200,1,1,510,444.4,2.6500745,39.5695818
"Seattle, WA",672,0,33,292,261.1,-122.3300624,47.6038321
"Cupertino, CA",630,36,42,0,142.2,-122.0322895,37.3228934
"Beijing, China",116,40,378,139,196.2,116.412144,40.190632
"Irvine, CA, USA",52,1,58,773,337.1,-117.8259819,33.6856969
"Pittsburgh, Pennsylvania",124,0,4,425,196.0,-79.9900861,40.4416941
"Mumbai, India",455,22,128,8,134.79999999999998,72.8353355,18.9387711
"Madison, WI",13300,35,73,681,2957.8,-89.3837613,43.074761
beijing,38,14,93,42,53.7,116.412144,40.190632
"Worsley, Greater Manchester, UK",83,53,212,0,85.5,-2.3664748,53.5010118
"Birmingham, AL",99,11,149,292,182.4,-86.8024326,33.5206824
Hong Kong,39,6,39,586,254.5,114.1849161,22.350627
"Berlin, Germany",131,24,214,119,140.4,13.4025498,52.5015217
Chennnai,221,18,15,33,63.7,,
"Dhaka, Bangladesh",180,17,31,711,331.4000000000001,90.4126466,23.810651
UC San Diego,1400,25,16,115,333.3,-70.7428763,-33.74158
"Tokyo, Japan",110,2,1500,375,622.2,139.7594549,35.6828387
"Dalian, China",31,6,52,125,72.4,121.6282945,38.9181714
Brazil,7,1,3,0,2.4000000000000004,-53.2,-10.3333333
"Santa Barbara, California",164,215,58,140,127.7,-119.7026673,34.4221319
chennai ,31,0,0,10,10.2,80.2838331,13.0801721
"Shanghai,China",271,12,56,32,85.0,121.4692071,31.2322758
Munich,15,3,1,2,4.4,11.5753822,48.1371079
"Denver, CO",213,6,24,64,76.0,-104.9848623,39.7392364
"Munich, Germany",419,0,66,90,139.60000000000002,11.5753822,48.1371079
"Islamabad, Pakistan",94,47,1,33,37.0,73.0651511,33.6938118
"Nanjing, China",624,48,642,65,348.2000000000001,118.7916458,32.0609736
"Mountain View, CA",6300,35,257,1003,1741.8,-114.2502063,51.6878246
"Cambridge, UK",978,267,723,1142,896.0,0.1235817,52.2034823
"Beijing, China",1200,14,65,2,261.7,116.412144,40.190632
Shanghai,112,55,34,14,43.7,121.4692071,31.2322758
New York City,3100,2,29,721,917.3000000000003,-74.0060152,40.7127281
"ChengDu,QingDao",204,425,1400,12,508.1,104.0993831,30.4576816
Amsterdam,5600,7,83,1481,1738.0,4.8936041,52.3727598
Mumbai,111,27,20,204,112.5,72.8353355,18.9387711
Germany,93,0,60,3,37.8,10.4234469,51.0834196
Nanjing,40,0,10,22,19.8,118.7916458,32.0609736
"Zaragoza, Spain",7,24,89,29,42.1,-0.8809428,41.6521342
"Guangzhou, China",101,47,192,6,84.9,113.2592945,23.1301964
"Hangzhou, China",131,68,252,141,165.0,120.2052342,30.2489634
"Madison, WI",13300,35,73,681,2957.8,-89.3837613,43.074761
"Grace Field, TPN",428,2,45,160,163.3,,
Hyderabad,85,2,76,52,60.8,78.46106473453146,17.38878595
Oakland,309,111,320,466,355.3,-122.2713563,37.8044557
Shanghai,2900,531,884,646,1156.7,121.4692071,31.2322758
"New York, NY",409,112,379,1961,991.1,-74.0060152,40.7127281
Malaysia,17,2,2,114,49.8,102.2656823,4.5693754
"Fremont, CA",1800,5,97,586,624.0,-123.13581745077204,49.2850624
"Warsaw, Poland",49,3,83,6,37.4,21.0067249,52.2319581
Morgantown - WV,25,4,12,0,9.0,-79.9559437,39.6296809
"Rochester, MN",18,1,0,49,23.3,-92.4630182,44.0234387
"San Francisco, CA",36300,4,20,29,7278.0,-71.2743272,46.8443248
"San Francisco, CA",1300,21,21,1,268.8,-71.2743272,46.8443248
beijing,6,1,6,2,3.9,116.412144,40.190632
San Francisco,35,7,13,0,11.6,-122.4199061,37.7790262
Malaysia,114,13,27,15,38.2,102.2656823,4.5693754
"Bangalore, India",113,77,1400,58,473.5,77.5912997,12.9791198
Paris,168,16,61,39,69.1,2.3514616,48.8566969
San Francisco,37,0,1,52,28.5,-122.4199061,37.7790262
Philadelphia,138,2,97,88,92.1,-75.1635262,39.9527237
New York City,3100,2,29,710,912.9,-74.0060152,40.7127281
Beijing,183,0,12,93,77.4,116.412144,40.190632
Germany,179,24,7,169,107.9,10.4234469,51.0834196
"Toulouse, France",63,10,7,176,86.10000000000002,1.4442469,43.6044622
San Francisco Bay Area,6,7,0,0,1.9000000000000004,-122.3558473,37.7884969
India,40,1,2,153,69.9,78.6677428,22.3511148
"Beijing, China",200,20,35,179,124.1,116.412144,40.190632
"Chennai, Delhi - India ",34,0,15,327,142.10000000000005,77.6271039,12.9105609
